layer;level;class;id;metric;value
1;class;3;NA;area_cv;528,6446624
1;class;4;NA;area_cv;22,32968783
1;class;11;NA;area_cv;71,23903424
1;class;12;NA;area_cv;169,2896934
1;class;15;NA;area_cv;175,1921482
1;class;30;NA;area_cv;276,1225809
1;class;33;NA;area_cv;74,21292011
1;class;3;NA;area_mn;5663,642637
1;class;4;NA;area_mn;0,848010572
1;class;11;NA;area_mn;0,255040774
1;class;12;NA;area_mn;2,227615276
1;class;15;NA;area_mn;2,148134454
1;class;30;NA;area_mn;15,04230482
1;class;33;NA;area_mn;0,828372432
1;class;3;NA;area_sd;29940,5445
1;class;4;NA;area_sd;0,189358113
1;class;11;NA;area_sd;0,181688584
1;class;12;NA;area_sd;3,771123071
1;class;15;NA;area_sd;3,763362896
1;class;30;NA;area_sd;41,5352003
1;class;33;NA;area_sd;0,614759371
1;class;3;NA;ca;158581,9938
1;class;4;NA;ca;1,696021144
1;class;11;NA;ca;1,785285415
1;class;12;NA;ca;547,993358
1;class;15;NA;ca;562,8112269
1;class;30;NA;ca;526,4806688
1;class;33;NA;ca;41,41862162
1;class;3;NA;ed;2,735589211
1;class;4;NA;ed;0,007084121
1;class;11;NA;ed;0,009321212
1;class;12;NA;ed;1,49922369
1;class;15;NA;ed;1,768793133
1;class;30;NA;ed;0,625266881
1;class;33;NA;ed;0,182695749
1;class;3;NA;gyrate_cv;464,6281558
1;class;4;NA;gyrate_cv;1,362004126
1;class;11;NA;gyrate_cv;100,8603833
1;class;12;NA;gyrate_cv;89,16445361
1;class;15;NA;gyrate_cv;91,45803709
1;class;30;NA;gyrate_cv;155,4342025
1;class;33;NA;gyrate_cv;43,94118799
1;class;3;NA;gyrate_mn;624,6950858
1;class;4;NA;gyrate_mn;43,93173987
1;class;11;NA;gyrate_mn;14,13216153
1;class;12;NA;gyrate_mn;62,98857519
1;class;15;NA;gyrate_mn;70,8762962
1;class;30;NA;gyrate_mn;138,5887089
1;class;33;NA;gyrate_mn;44,9354301
1;class;3;NA;gyrate_sd;2902,509257
1;class;4;NA;gyrate_sd;0,59835211
1;class;11;NA;gyrate_sd;14,25375229
1;class;12;NA;gyrate_sd;56,16341891
1;class;15;NA;gyrate_sd;64,82206927
1;class;30;NA;gyrate_sd;215,4142545
1;class;33;NA;gyrate_sd;19,74516181
1;class;3;NA;lpi;98,85918937
1;class;4;NA;lpi;0,00061268
1;class;11;NA;lpi;0,000278491
1;class;12;NA;lpi;0,017934822
1;class;15;NA;lpi;0,019215881
1;class;30;NA;lpi;0,134288372
1;class;33;NA;lpi;0,002729212
1;class;3;NA;pland;98,95036733
1;class;4;NA;pland;0,001058266
1;class;11;NA;pland;0,001113964
1;class;12;NA;pland;0,34193128
1;class;15;NA;pland;0,351177182
1;class;30;NA;pland;0,328508012
1;class;33;NA;pland;0,025843967
1;class;3;NA;te;438416,959
1;class;4;NA;te;1135,330819
1;class;11;NA;te;1493,856341
1;class;12;NA;te;240271,8539
1;class;15;NA;te;283474,1793
1;class;30;NA;te;100207,8834
1;class;33;NA;te;29279,58429
1;class;3;NA;ai;99,79292614
1;class;4;NA;ai;65,51724138
1;class;11;NA;ai;48,38709677
1;class;12;NA;ai;68,12144213
1;class;15;NA;ai;63,16761706
1;class;30;NA;ai;86,91805532
1;class;33;NA;ai;49,54751131
1;class;3;NA;clumpy;0,841468311
1;class;4;NA;clumpy;0,655168765
1;class;11;NA;clumpy;0,483865218
1;class;12;NA;clumpy;0,680120654
1;class;15;NA;clumpy;0,630429059
1;class;30;NA;clumpy;0,868749384
1;class;33;NA;clumpy;0,49534469
1;class;3;NA;cohesion;99,99534705
1;class;4;NA;cohesion;67,63949084
1;class;11;NA;cohesion;45,70958606
1;class;12;NA;cohesion;86,10092023
1;class;15;NA;cohesion;86,41847725
1;class;30;NA;cohesion;96,65023683
1;class;33;NA;cohesion;70,30109769
1;class;3;NA;division;0,022685876
1;class;4;NA;division;1
1;class;11;NA;division;1
1;class;12;NA;division;0,999999817
1;class;15;NA;division;0,999999809
1;class;30;NA;division;0,999997408
1;class;33;NA;division;0,999999998
1;class;3;NA;enn_cv;56,23938414
1;class;4;NA;enn_cv;0
1;class;11;NA;enn_cv;54,80950291
1;class;12;NA;enn_cv;232,8710666
1;class;15;NA;enn_cv;272,6194384
1;class;30;NA;enn_cv;74,42672384
1;class;33;NA;enn_cv;143,7163954
1;class;3;NA;enn_mn;88,41604143
1;class;4;NA;enn_mn;84,50527592
1;class;11;NA;enn_mn;5840,381026
1;class;12;NA;enn_mn;303,8829685
1;class;15;NA;enn_mn;375,6794967
1;class;30;NA;enn_mn;144,0833151
1;class;33;NA;enn_mn;1457,152486
1;class;3;NA;enn_sd;49,72463718
1;class;4;NA;enn_sd;0
1;class;11;NA;enn_sd;3201,083808
1;class;12;NA;enn_sd;707,65551
1;class;15;NA;enn_sd;1024,175334
1;class;30;NA;enn_sd;107,236491
1;class;33;NA;enn_sd;2094,167028
1;class;3;NA;iji;63,92778948
1;class;4;NA;iji;33,5803865
1;class;11;NA;iji;69,55525742
1;class;12;NA;iji;51,70912732
1;class;15;NA;iji;44,20099558
1;class;30;NA;iji;60,02803511
1;class;33;NA;iji;36,65854505
1;class;3;NA;lsi;3,757689422
1;class;4;NA;lsi;2,111111111
1;class;11;NA;lsi;2,777777778
1;class;12;NA;lsi;25,61146497
1;class;15;NA;lsi;29,8427673
1;class;30;NA;lsi;10,88961039
1;class;33;NA;lsi;11,13636364
1;class;3;NA;mesh;156628,4458
1;class;4;NA;mesh;9,20E-06
1;class;11;NA;mesh;4,08E-06
1;class;12;NA;mesh;0,029357489
1;class;15;NA;mesh;0,030608906
1;class;30;NA;mesh;0,415410109
1;class;33;NA;mesh;0,000329634
1;class;3;NA;nlsi;0,163225434
1;class;4;NA;nlsi;0,344827586
1;class;11;NA;nlsi;0,516129032
1;class;12;NA;nlsi;0,318785579
1;class;15;NA;nlsi;0,368323829
1;class;30;NA;nlsi;0,130819447
1;class;33;NA;nlsi;0,504524887
1;class;3;NA;np;28
1;class;4;NA;np;2
1;class;11;NA;np;7
1;class;12;NA;np;246
1;class;15;NA;np;262
1;class;30;NA;np;35
1;class;33;NA;np;50
1;class;3;NA;pd;0,017471153
1;class;4;NA;pd;0,00124794
1;class;11;NA;pd;0,004367788
1;class;12;NA;pd;0,153496559
1;class;15;NA;pd;0,163480075
1;class;30;NA;pd;0,021838941
1;class;33;NA;pd;0,031198488
1;class;3;NA;pladj;99,75866103
1;class;4;NA;pladj;50
1;class;11;NA;pladj;37,5
1;class;12;NA;pladj;67,25036651
1;class;15;NA;pladj;62,37608058
1;class;30;NA;pladj;85,78331638
1;class;33;NA;pladj;47,19827586
1;class;3;NA;split;1,023212471
1;class;4;NA;split;17423920282
1;class;11;NA;split;39310064050
1;class;12;NA;split;5459056,133
1;class;15;NA;split;5235867,625
1;class;30;NA;split;385797,4939
1;class;33;NA;split;486187820,8
